charges,Erin_charges,Count,Craig_charges,Craig_edit,2C_added
BLANK,BLANK,13780,BLANK,BLANK,BLANK
RESISTING ARREST,RESISTING,5931,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
RESISTING,RESISTING,3174,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:29-2,2C:29-2,3113,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:29-1A,2C:29-1(A),2759,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
OBSTRUCTION,OBSTRUCTION,2755,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:29-2A(1),2C:29-2A(1),2661,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:29-2A,2C:29-2A,2623,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
DISORDERLY CONDUCT,DISORDERLY CONDUCT,2375,DISORDERLY CONDUCT,DISORDERLY CONDUCT,DISORDERLY CONDUCT
2C:29-1,2C:29-1,2157,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:33-2A(1),2C:33-2A(1),1570,DISORDERLY CONDUCT,DISORDERLY CONDUCT,DISORDERLY CONDUCT
2C:12-1B(5)(A),2C:12-1B(5)(A),1546,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
AGGRAVATED ASSAULT,AGG ASSAULT,1473,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT
2C:33-2,2C:33-2,1431,DISORDERLY CONDUCT,DISORDERLY CONDUCT,DISORDERLY CONDUCT
DISORDERLY,DISORDERLY,1079,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER
AGG ASSAULT,AGG ASSAULT,987,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT
2C:33-2A,2C:33-2A,979,DISORDERLY CONDUCT,DISORDERLY CONDUCT,DISORDERLY CONDUCT
39:4-50,39:4-50,921,DWI,DWI,DWI
