Input,Officer_1_rank,Standard_name,General_name
PATROLMAN,26583,OFFICER,Ofc.
POLICE OFFICER,15657,OFFICER,Ofc.
BLANK,9469,BLANK,
SERGEANT,6318,SERGEANT,Sgt.
OFFICER,4794,OFFICER,Ofc.
DETECTIVE,2787,DETECTIVE,Det.
TPR,1118,TROOPER,Trooper
LIEUTENANT,888,LIEUTENANT,Lt.
CORPORAL,711,CORPORAL,Cpl.
SLEO II,615,SLEO II,SLEO
OFC,524,OFFICER,Ofc.
SG,270,SERGEANT,Sgt.
SLEO,126,SLEO,SLEO
CLASS II,124,SLEO II,SLEO
S.O,121,SLEO,SLEO
DSG,97,DETECTIVE SERGEANT,Det. Sgt. 
SLEO 2,97,SLEO,SLEO
CAPTAIN,85,CAPTAIN,Capt.
OFF,85,OFFICER,Ofc.
DT,84,DETECTIVE,Det.
SPO,83,SLEO,SLEO
ILLEGIBLE,60,ILLEGIBLE,
DETECTIVE SERGEANT,59,DETECTIVE,Det.
SPECIAL OFFICER,54,SLEO,SLEO
CO,52,OFFICER,Ofc.
SLEO I,50,SLEO I,SLEO
PFC,44,PRIVATE FIRST CLASS,
INVESTIGATOR,43,DETECTIVE,Det.
SFC,41,SERGEANT,Sgt.
SO,38,SLEO,SLEO
CHIEF,35,CHIEF,Chief
SPECIAL II,35,SLEO II,SLEO
S/O II,34,SLEO II,SLEO
D/SGT,29,DETECTIVE SERGEANT,Det. Sgt. 
CLASS II S/O,28,SLEO II,SLEO
SGT.,27,SERGEANT,Sgt.
SPECIAL OFFICER II,25,SLEO II,SLEO
SSGT,24,SERGEANT,Sgt.
PATROLWOMAN,23,OFFICER,Ofc.
CAPT,22,CAPTAIN,Capt.
S/O,22,SLEO,SLEO
DET.,20,DETECTIVE,Det.
DSFC,20,DETECTIVE,Det.
DSGT,19,DETECTIVE,Det.
SLEO-2,19,SLEO II,SLEO
K9 OFFICER,18,K9 OFFICER,K9 Ofc.
SHERIFF'S OFFICER,17,OFFICER,Ofc.
SLEO 1,16,SLEO,SLEO
DET/SGT,16,DETECTIVE SERGEANT,Det. Sgt. 
INV,16,DETECTIVE,Det.
T.O,15,OFFICER,Ofc.
A/SGT,14,SERGEANT,Sgt.
S/OII,14,SLEO II,SLEO
MPO II,14,MASTER OFFICER,Master Ofc.
BOOKING OFFICER,14,OFFICER,Ofc.
PATROLMEN,13,OFFICER,Ofc.
S.O. II,13,SLEO II,SLEO
DJ,12,ND,ND
SPECIAL POLICE OFFICER,12,DETECTIVE,Det.
CLASS I,11,SLEO I,SLEO
PA,11,OFFICER,Ofc.
SP,11,OFFICER,Ofc.
SPECIAL,11,SLEO,SLEO
PC,10,ND,ND
T.O.,10,OFFICER,Ofc.
SPECIAL OFFICER CLASS II,10,SLEO II,SLEO
"DET, SGT",10,DETECTIVE SERGEANT,Det. Sgt. 
ACTING SERGEANT,10,SERGEANT,Sgt.
DSC,10,DETECTIVE SERGEANT,Det. Sgt. 
MPO,9,MASTER OFFICER,Master Ofc.
CLASS 2,9,SLEO II,SLEO
II,9,SLEO II,SLEO
CLASS 1,9,SLEO I,SLEO
SO II,9,SLEO II,SLEO
TROOPER,8,TROOPER,Trooper
PTL / K-9,8,K9 OFFICER,K9 Ofc.
CLASS II SPECIAL,8,SLEO II,SLEO
CLASS II SLEO,8,SLEO II,SLEO
"PTL, OFC",8,OFFICER,Ofc.
LIEUT,8,LIEUTENANT,Lt.
DET SGT,7,DETECTIVE SERGEANT,Det. Sgt. 
DET. SERGEANT,7,DETECTIVE SERGEANT,Det. Sgt. 
CLASS 1 BOOKING OFFICER,7,OFFICER,Ofc.
PTLMN,7,OFFICER,Ofc.
BCPO,7,OFFICER,Ofc.
FTO,7,OFFICER,Ofc.
DEPUTY CHIEF,7,DEPUTY CHIEF,Deputy Chief
SPECIAL CLASS II,6,SLEO II,SLEO
D/LT,6,DETECTIVE LIEUTENANT,Det. Lt.
MPO I,6,MASTER OFFICER,Master Ofc.
PATROL SERGEANT,6,SERGEANT,Sgt.
CLASS TWO,6,SLEO II,SLEO
CLASS II OFFICER,6,SLEO II,SLEO
OFCR,6,OFFICER,Ofc.
S.O. I,6,SLEO I,SLEO
SERGEANT FIRST CLASS,6,SERGEANT,Sgt.
CL II,6,SLEO II,SLEO
CLASS II SPECIAL OFFICER,6,SLEO II,SLEO
SLEO CLASS II,6,SLEO II,SLEO
SLEO II OFFICER,6,SLEO II,SLEO
PTL/OIC,6,OFFICER,Ofc.
K-9 OFFICER,6,K9 OFFICER,K9 Ofc.
SPECIAL LAW ENFORCEMENT OFFICER,6,SLEO,SLEO
DET. SGT,6,DETECTIVE SERGEANT,Det. Sgt. 
SLII,5,SLEO II,SLEO
PATROLMAN/K-9,5,K9 OFFICER,K9 Ofc.
DET/LT,5,DETECTIVE LIEUTENANT,Det. Lt.
PTL 1ST CLASS,5,DETECTIVE LIEUTENANT,Det. Lt.
SMPO,4,OFFICER,Ofc.
SC,4,ND,ND
S.O II,4,SLEO II,SLEO
CHIEF OF POLICE,4,CHIEF,Chief
SLEO2,4,SLEO II,SLEO
DSGT.,4,DETECTIVE SERGEANT,Det. Sgt. 
L.O,4,OFFICER,Ofc.
K-9,4,K9 OFFICER,K9 Ofc.
CL,4,ND,ND
OFFC/PATROL,4,SLEO II,SLEO
SPECIAL CLASS 2,4,SLEO II,SLEO
MSG,3,MASTER OFFICER,Master Ofc.
DETECTIVE LIEUTENANT,3,DETECTIVE LIEUTENANT,Det. Lt.
CP,3,ND,ND
CLASS 2 OFFICER,3,SLEO II,SLEO
K9 OFC,3,K9 OFFICER,K9 Ofc.
CPT,3,CAPTAIN,Cpt.
K-9 OFC,3,K9 OFFICER,K9 Ofc.
SPECIAL OFFICER I,3,SLEO I,SLEO
SL,3,SLEO,SLEO
SELO II,3,SLEO II,SLEO
OIC,3,OFFICER,Ofc.
K-9 SERGEANT,3,K9 OFFICER,K9 Ofc.
INV.,3,DETECTIVE,Det.
ACTING CORPORAL,3,CORPORAL,Cpl.
1ST CLASS PTL,3,OFFICER,Ofc.
D/SGT.,3,DETECTIVE SERGEANT,Det. Sgt. 
I/SGT,3,SERGEANT,Sgt.
MASTER POLICE OFFICER I,3,MASTER OFFICER,Master Ofc.
SPO 2,3,SLEO II,SLEO
POLICE SERGEANT,3,SERGEANT,Sgt.
PTL/PO,3,OFFICER,Ofc.
SPECIAL POLICE,3,SLEO,SLEO
K9 TRAINER,3,K9 OFFICER,K9 Ofc.
CLASS II PATROLMAN,3,SLEO II,SLEO
NSP,3,ND,ND
K9 SGT,3,K9 OFFICER,K9 Ofc.
"DETECTIVE, SERGEANT",3,DETECTIVE SERGEANT,Det. Sgt. 
CLASS ONE POLICE OFFICER,2,SLEO I,SLEO
OIC/PTL,2,OFFICER,Ofc.
SPECIAL CLASS 1,2,SLEO I,SLEO
DET. SGT.,2,DETECTIVE SERGEANT,Det. Sgt. 
CL 2,2,SLEO II,SLEO
DET/LIEUTENANT,2,DETECTIVE LIEUTENANT,Det. Lt.
MP,2,MASTER OFFICER,Master Ofc.
TRAFFIC OFFICER,2,OFFICER,Ofc.
PATROLMAN/K9,2,K9 OFFICER,K9 Ofc.
CIVILIAN,2,CIVILIAN,CIVILIAN
SLEO 1/ BOOKING OFFICER,2,SLEO I,SLEO
POLICE OFFICER/PATROL,2,OFFICER,Ofc.
OFFICER (SLEO 2),2,SLEO II,SLEO
DET/SERGEANT,2,DETECTIVE SERGEANT,Det. Sgt. 
CORP,2,CORPORAL,Cpl.
K-9 PATROL,2,K9 OFFICER,K9 Ofc.
ACTING LIEUTENANT,2,LIEUTENANT,Lt.
PTROLMAN,2,OFFICER,Ofc.
P/O,2,OFFICER,Ofc.
POLICE,2,OFFICER,Ofc.
5TH CLASS PATROLMAN,2,OFFICER,Ofc.
DET/ SGT,2,DETECTIVE SERGEANT,Det. Sgt. 
PATROL OFF,2,OFFICER,Ofc.
PATROLMAN - K9,2,K9 OFFICER,K9 Ofc.
SPL II,2,SLEO II,SLEO
MASTER POLICE OFFICER II,2,MASTER OFFICER,Master Ofc.
SUPERVISOR,2,OFFICER,Ofc.
PATROLMAN FIRST CLASS,2,OFFICER,Ofc.
MASTER POLICE OFFICER,2,MASTER OFFICER,Master Ofc.
PTM,2,OFFICER,Ofc.
PTL OFFICER,2,OFFICER,Ofc.
PATROL OFC,2,OFFICER,Ofc.
PTL/DET,2,DETECTIVE,Det.
ACT/SGT,2,SERGEANT,Sgt.
POLICE AIDE,2,POLICE AIDE,POLICE AIDE
PATROLMAN 1ST CLASS,2,OFFICER,Ofc.
W,2,OFFICER,Ofc.
SL II,2,SLEO II,SLEO
UCSO,2,OFFICER,Ofc.
DLT,2,DETECTIVE LIEUTENANT,Det. Lt.
D/CHIEF,2,DEPUTY CHIEF,Deputy Chief
S/O CLASS II,2,SLEO II,SLEO
D/SERGEANT,2,DETECTIVE SERGEANT,Det. Sgt. 
S. M. P. O.,2,MASTER OFFICER,Master Ofc.
SPC. OFF.,2,SLEO,SLEO
SO CLASS 2,2,SLEO II,SLEO
PTL 5TH CLASS,2,OFFICER,Ofc.
PATROLWOMEN,2,OFFICER,Ofc.
NARCOTICS INVESTIGATOR,2,DETECTIVE,Det. 
M.P.O,2,MASTER OFFICER,Master Ofc.
SHERIFFS OFFICER,2,OFFICER,Ofc.
"DET, LT",2,DETECTIVE LIEUTENANT,Det. Lt.
CLASS II P.O,2,SLEO II,SLEO
CLASS 2 POLICE OFFICER,2,SLEO II,SLEO
WHITE,2,ND,ND
"PTL, P.O",2,OFFICER,Ofc.
SPECIAL CLASS II OFFICER,2,SLEO II,SLEO
SLO II,2,SLEO II,SLEO
CLASS II POLICE OFFICER,2,SLEO II,SLEO
CAUC,2,ND,ND
D/S,2,DETECTIVE SERGEANT,Det. Sgt. 
DETECTIVE/SERGEANT,2,DETECTIVE SERGEANT,Det. Sgt. 
SRO,2,OFFICER,Ofc.
REC,2,ND,ND
PATROLMAN CLASS II,2,OFFICER,Ofc.
