,Number of incidents for this officer,officerid,Officer_1_first,Officer_1_last,Officer_1_rank,Officer_1_race,Town_county,Rows with this data,Department_incidents,Percent of department
21214,62,ScottMSendrickAtlanticCity,Scott,Sendrick,Ofc.,not listed,"Atlantic City, Atlantic County",4,1671,3.71035308199
21215,62,ScottMSendrickAtlanticCity,Scott,Sendrick,Ofc.,white,"Atlantic City, Atlantic County",58,1671,3.71035308199
9518,59,JamesDayVineland,James,Day,Ofc.,white,"Vineland, Cumberland County",59,916,6.44104803493
12197,58,JosephDixonMillville,Joseph,Dixon,Ofc.,not listed,"Millville, Cumberland County",58,454,12.7753303965
20804,56,RyanPDuffyPaterson,Ryan,Duffy,Ofc.,not listed,"Paterson, Passaic County",56,1467,3.81731424676
18260,52,PatrickJoyceLongBranch,Patrick,Joyce,Ofc.,not listed,"Long Branch, Monmouth County",52,377,13.7931034483
2473,51,BrandonGallozaCamden,Brandon,Gailoza,Sgt.,not listed,"Camden, Camden County",1,1838,2.77475516866
2474,51,BrandonGallozaCamden,Brandon,Galloza,Ofc.,hispanic,"Camden, Camden County",28,1838,2.77475516866
2475,51,BrandonGallozaCamden,Brandon,Galloza,Ofc.,not listed,"Camden, Camden County",8,1838,2.77475516866
2476,51,BrandonGallozaCamden,Brandon,Galloza,Ofc.,white,"Camden, Camden County",2,1838,2.77475516866
2477,51,BrandonGallozaCamden,Brandon,Galloza,SLEO,hispanic,"Camden, Camden County",1,1838,2.77475516866
2478,51,BrandonGallozaCamden,Brandon,Galloza,Sgt.,not listed,"Camden, Camden County",10,1838,2.77475516866
2479,51,BrandonGallozaCamden,Brandon,Galloza,Sgt.,white,"Camden, Camden County",1,1838,2.77475516866
16893,49,MichaelOldroydAtlanticCity,Michael,Oldroyd,Ofc.,black,"Atlantic City, Atlantic County",3,1671,2.93237582286
16894,49,MichaelOldroydAtlanticCity,Michael,Oldroyd,Ofc.,white,"Atlantic City, Atlantic County",46,1671,2.93237582286
8669,49,HuanMLeAtlanticCity,Huan,Le,Ofc.,asian,"Atlantic City, Atlantic County",42,1671,2.93237582286
8670,49,HuanMLeAtlanticCity,Huan,Le,Ofc.,not listed,"Atlantic City, Atlantic County",3,1671,2.93237582286
8671,49,HuanMLeAtlanticCity,Huan,Le,Ofc.,white,"Atlantic City, Atlantic County",4,1671,2.93237582286
17747,47,NicholasMaslanichVineland,Nicholas,Maslanich,Ofc.,white,"Vineland, Cumberland County",47,916,5.13100436681
19014,47,RalphMercedPassaic,Ralph,Merced,Ofc.,black,"Passaic, Passaic County",3,438,10.7305936073
19015,47,RalphMercedPassaic,Ralph,Merced,Ofc.,hispanic,"Passaic, Passaic County",9,438,10.7305936073
19016,47,RalphMercedPassaic,Ralph,Merced,Ofc.,white,"Passaic, Passaic County",35,438,10.7305936073
13135,46,KamilJWarraichAsburyPark,Kamil,Warraich,Ofc.,asian,"Asbury Park, Monmouth County",26,486,9.46502057613
13136,46,KamilJWarraichAsburyPark,Kamil,Warraich,Ofc.,black,"Asbury Park, Monmouth County",5,486,9.46502057613
13137,46,KamilJWarraichAsburyPark,Kamil,Warraich,Ofc.,white,"Asbury Park, Monmouth County",1,486,9.46502057613
13138,46,KamilJWarraichAsburyPark,Kamil,Warraich,Sgt.,asian,"Asbury Park, Monmouth County",13,486,9.46502057613
13139,46,KamilJWarraichAsburyPark,Kamil,Warraich,Sgt.,black,"Asbury Park, Monmouth County",1,486,9.46502057613
8008,45,GeorgeLiasElizabeth,George,Lias,Ofc.,hispanic,"Elizabeth, Union County",12,1005,4.4776119403
8009,45,GeorgeLiasElizabeth,George,Lias,Ofc.,not listed,"Elizabeth, Union County",33,1005,4.4776119403
8758,44,ILLEGIBLEILLEGIBLEFranklin,Illegible,Illegible,Ofc.,illegible,"Franklin, Somerset County",3,155,28.3870967742
8759,44,ILLEGIBLEILLEGIBLEFranklin,Illegible,Illegible,Ofc.,not listed,"Franklin, Somerset County",41,155,28.3870967742
12010,43,JoseSantiagoPerthAmboy,Jose,Santiago,Ofc.,white,"Perth Amboy, Middlesex County",43,458,9.38864628821
1675,43,AvetteAHarperAtlanticCity,Avette,Harper,Ofc.,black,"Atlantic City, Atlantic County",39,1671,2.57330939557
1676,43,AvetteAHarperAtlanticCity,Avette,Harper,Ofc.,unknown,"Atlantic City, Atlantic County",1,1671,2.57330939557
1677,43,AvetteAHarperAtlanticCity,Avette,Harper,Ofc.,white,"Atlantic City, Atlantic County",2,1671,2.57330939557
1678,43,AvetteAHarperAtlanticCity,Avette,Harper,Sgt.,black,"Atlantic City, Atlantic County",1,1671,2.57330939557
14438,43,LouisPlataniaVineland,Louis,Platania,Ofc.,not listed,"Vineland, Cumberland County",7,916,4.6943231441
14439,43,LouisPlataniaVineland,Louis,Platania,Ofc.,white,"Vineland, Cumberland County",36,916,4.6943231441
18639,42,PeterMCalabreseAtlanticCity,Pete,Calabrese,Ofc.,white,"Atlantic City, Atlantic County",1,1671,2.51346499102
18640,42,PeterMCalabreseAtlanticCity,Peter,Calabrese,Ofc.,white,"Atlantic City, Atlantic County",41,1671,2.51346499102
22968,42,TimothyDeLouiseVineland,Timothy,DeLouise,Ofc.,white,"Vineland, Cumberland County",41,916,4.58515283843
22969,42,TimothyDeLouiseVineland,Timothy,Delouise,Ofc.,white,"Vineland, Cumberland County",1,916,4.58515283843
6712,41,EdwardODonnellLindenwold,Edward,ODonnell,Ofc.,not listed,"Lindenwold, Camden County",1,241,17.0124481328
6713,41,EdwardODonnellLindenwold,Edward,ODonnell,Ofc.,white,"Lindenwold, Camden County",28,241,17.0124481328
6714,41,EdwardODonnellLindenwold,Edward,ODonnell,Sgt.,white,"Lindenwold, Camden County",12,241,17.0124481328
